task,trial_num,trial_id,success,failure_reason,total_time_s,perception_success,perception_confidence,perception_inference_ms,perception_error_cm,motion_steps,mean_motion_error_cm
PickAndLift,1,20260318_163904_645149,True,,25.84,True,0.648,1214.8,,3,1.987
PickAndLift,2,20260318_164503_139159,True,,50.75,True,0.6451,1311.8,,3,2.117
PickAndLift,3,20260318_164619_469850,True,,111.77,True,0.6569,180.5,,3,2.013
PickAndLift,4,20260318_164851_981698,True,,85.91,True,0.5716,203.8,,3,2.247
PickAndLift,5,20260318_165102_263076,False,task_incomplete-cube dropped,98.70,True,0.6228,182.6,,4,0.088
PickAndLift,6,20260318_165255_935679,True,,36.52,True,0.6466,195.9,,3,0.063
PickAndLift,7,20260318_165356_471878,True,,51.94,True,0.6146,199.7,,3,2.653
PickAndLift,8,20260318_165533_506202,True,,51.22,True,0.6638,182.0,,3,3.090
PickAndLift,9,20260318_165644_973566,True,,45.33,True,0.6248,179.2,,3,1.983
PickAndLift,10,20260319_110207_757037,True,,35.54,True,0.6376,1552.2,,3,1.723
PickAndLift,11,20260319_110324_666387,True,,23.67,True,0.6345,171.2,,3,2.973
PickAndLift,12,20260319_110436_517666,True,,29.54,True,0.5997,172.4,,3,2.737
PickAndLift,13,20260319_110547_216251,True,,25.88,True,0.5799,171.4,,3,2.207
PickAndLift,14,20260319_110657_663469,False,task_incomplete-cube dropped,34.01,True,0.6072,174.1,,3,1.830
PushButton,1,20260319_112945_859804,True,,22.46,True,0.5016,1088.8,,2,0.53
PushButton,2,20260319_113027_978675,True,,16.72,True,0.4797,182.2,,2,0.53
PushButton,3,20260319_113115_847933,True,,62.17,True,0.5407,172.6,,2,0.535
PushButton,4,20260319_113243_098457,True,,28.28,True,0.515,173.1,,2,0.59
PushButton,5,20260319_113333_806520,True,,11.87,True,0.4978,177.3,,2,0.545
PushButton,6,20260319_113503_821744,True,,22.71,True,0.4846,967.0,,3,3.343
PushButton,7,20260319_113604_191472,True,,77.59,True,0.518,174.8,,3,3.317
PushButton,8,20260319_113759_822601,True,,97.59,True,0.5573,178.5,,3,3.34
PushButton,9,20260319_114019_349087,True,,80.01,True,0.4686,189.9,,2,0.355
PushButton,10,20260319_114215_308583,True,,77.47,True,0.4972,173.4,,3,3.347
PushButton,11,20260319_114410_813851,True,,143.7,True,0.4773,172.5,,3,3.337
PushButton,12,20260319_114717_694559,True,,80.77,True,0.4852,180.5,,3,3.333
PushButton,13,20260319_114919_088692,True,,107.83,True,0.5102,183.9,,3,3.347
PushButton,14,20260319_115145_102894,True,,139.98,True,0.5049,173.1,,3,3.337
PushButton,15,20260319_115441_540123,True,,90.58,True,0.472,178.1,,3,3.337

ReachTarget,1,20260319_124157_984628,False,task_incomplete,16.74,True,0.6879,882.0,,2,0.07
ReachTarget,2,20260319_124238_107680,True,,9.63,True,0.6751,182.9,,2,2.355
ReachTarget,3,20260319_125534_954869,True,,12.27,True,0.6698,838.2,,2,1.43
ReachTarget,4,20260319_125607_328821,True,,22.5,True,0.6755,188.3,,2,1.9
ReachTarget,5,20260319_125735_929147,True,,16.11,True,0.6693,967.1,,2,1.215
ReachTarget,6,20260319_125807_575410,True,,11.85,True,0.6697,174.4,,2,1.57
ReachTarget,7,20260319_125907_135536,True,,18.67,True,0.6905,883.9,,2,1.475
ReachTarget,8,20260319_130430_237036,True,,25.37,True,0.6885,823.1,,2,18.01
ReachTarget,9,20260319_130518_766128,True,,14.25,True,0.6837,174.2,,2,1.46
ReachTarget,11,20260319_130741_498018,True,,15.67,True,0.6798,184.1,,2,1.33
ReachTarget,12,20260319_130824_491763,True,,12.28,True,0.6709,190.9,,2,2.22
ReachTarget,13,20260319_130901_387841,True,,11.83,True,0.6654,177.3,,2,1.39
ReachTarget,14,20260319_131837_954785,True,,14.62,True,0.6833,1029.1,,2,2.05
ReachTarget,15,20260319_131914_223158,True,,13.79,True,0.6752,179.4,,2,1.425
ReachTarget,16,20260319_132028_779994,True,,22.93,True,0.7151,1033.6,,2,1.015

PutRubbishInBin,1,20260319_132431_109395,True,,44.43,True,0.7794,1140.5,,5,1.61
PutRubbishInBin,2,20260319_132553_170004,True,,37.36,True,0.6731,187.9,,5,1.074
PutRubbishInBin,3,20260319_132728_679709,True,,32.26,True,0.8026,906.1,,4,0.072
PutRubbishInBin,4,20260319_132841_710008,True,,28.19,True,0.7897,175.5,,4,0.117
PutRubbishInBin,5,20260319_132952_754932,True,,37.77,True,0.7876,175.5,,4,0.113
PutRubbishInBin,6,20260319_133105_513632,True,,34.51,True,0.7553,176.5,,4,0.14
PutRubbishInBin,7,20260319_133527_158673,True,,46.49,True,0.7779,956.7,,5,1.092
PutRubbishInBin,8,20260319_133645_565445,True,,33.97,True,0.7506,200.4,,5,1.044
PutRubbishInBin,9,20260319_133744_354863,True,,26.36,True,0.7996,179.8,,5,1.06
PutRubbishInBin,10,20260319_133833_322484,True,,24.34,True,0.7957,175.0,,5,1.082
PutRubbishInBin,11,20260319_135401_838277,True,,43.35,True,0.707,982.2,,5,1.094
PutRubbishInBin,12,20260319_135539_366562,True,,26.94,True,0.7318,173.8,,5,1.08
PutRubbishInBin,13,20260319_135642_720463,True,,50.53,True,0.6892,177.1,,5,1.082
PutRubbishInBin,14,20260319_135814_435555,True,,42.51,True,0.7635,176.9,,5,1.066
PutRubbishInBin,15,20260319_140353_295762,False,task_incomplete,,True,0.8084,1012.8,,4,0.237

StackBlocks,1,20260324_130936_362759,True,,59.14,True,0.7793,1122.8,,8,1.12
StackBlocks,2,20260324_132811_123737,True,,75.32,True,0.778,1369.1,,6,0.093
StackBlocks,3,20260324_133350_176131,False,task_incomplete,49.84,True,0.7651,1376.5,,6,0.1
StackBlocks,4,20260324_140013_262644,True,,81.96,True,0.7692,1454.3,,6,0.087
StackBlocks,5,20260324_140444_531920,False,task_incomplete,76.2,True,0.7913,1412.7,,6,0.093
StackBlocks,6,20260324_140759_843873,True,,74.52,True,0.7765,1406.4,,10,0.081
StackBlocks,7,20260324_141438_714445,True,,67.45,True,0.7525,1640.3,,6,0.105
StackBlocks,8,20260324_141817_916610,True,,60.56,True,0.7894,1542.8,,6,0.08
StackBlocks,9,20260324_142048_888066,True,,73.34,True,0.7797,1449.2,,5,0.082
StackBlocks,10,20260324_142506_663559,True,,67.63,True,0.781,1596.8,,6,0.117
StackBlocks,11,20260324_142730_268396,True,,69.3,True,0.7895,1125.9,,6,0.058
StackBlocks,12,20260324_143351_320878,True,,60.36,True,0.7783,1513.7,,6,0.062
StackBlocks,13,20260324_143620_034167,True,,64.01,True,0.7729,1451.5,,6,0.058
StackBlocks,14,20260324_143857_125500,True,,58.63,True,0.7341,1173.9,,6,0.1
StackBlocks,15,20260324_144113_140457,False,task_incomplete,40.45,True,0.7848,258.2,,6,0.072
PickAndLift,15,20260324_151403_172058,True,,46.53,True,0.625,1520.9,,3,1.913
